Date/Time,EMS:All Zones Total Heating Energy {J}(Hourly),EMS:All Zones Total Heating Energy {J}(Monthly),EMS:All Zones Total Heating Energy {J}(RunPeriod),EMS:All Zones Total Cooling Energy {J}(Hourly),EMS:All Zones Total Cooling Energy {J}(Monthly),EMS:All Zones Total Cooling Energy {J}(RunPeriod) 
 01/05  06:00:00,66996894.764296,,,0.0 
 01/05  07:00:00,63056989.3095738,,,0.0 
 01/05  08:00:00,55846118.6248109,,,0.0 
 01/05  09:00:00,56372144.3464358,,,0.0 
 01/05  10:00:00,49102851.8236903,,,0.0 
 01/05  11:00:00,43490827.9468881,,,0.0 
 01/05  12:00:00,36581952.8839784,,,0.0 
 01/05  13:00:00,41537598.4583898,,,0.0 
 01/05  14:00:00,44298025.6002459,,,0.0 
 01/05  15:00:00,42697508.9663191,,,0.0 
 01/05  16:00:00,43733848.8537837,,,0.0 
 01/05  17:00:00,45839261.0572182,,,0.0 
 01/05  18:00:00,50034411.0095202,,,0.0 
 01/05  19:00:00,52295583.391787,,,0.0 
 01/05  20:00:00,52571908.7492418,,,0.0 
 01/05  21:00:00,58535714.1151545,,,0.0 
 01/05  22:00:00,58813787.5325292,,,0.0 
 01/05  23:00:00,59183101.8738153,,,0.0 
 01/05  24:00:00,64418934.428099,,,0.0 
 01/06  01:00:00,65487701.0810005,,,0.0 
 01/06  02:00:00,66126648.459339,,,0.0 
 01/06  03:00:00,66278657.1460338,,,0.0 
 01/06  04:00:00,66079581.1840518,,,0.0 
 01/06  05:00:00,66015472.5034017,,,0.0 
 01/06  06:00:00,66015911.9026319,,,0.0 
 01/06  07:00:00,61865451.5463935,,,0.0 
 01/06  08:00:00,54426876.2791492,,,0.0 
 01/06  09:00:00,56232599.8022207,,,0.0 
 01/06  10:00:00,51429005.3570894,,,0.0 
 01/06  11:00:00,46659942.161437,,,0.0 
 01/06  12:00:00,39826066.1647518,,,0.0 
 01/06  13:00:00,46552787.7462241,,,0.0 
 01/06  14:00:00,49003473.525414,,,0.0 
 01/06  15:00:00,46395838.3113358,,,0.0 
 01/06  16:00:00,47080405.1709133,,,0.0 
 01/06  17:00:00,48624135.7213896,,,0.0 
 01/06  18:00:00,52657323.2932731,,,0.0 
 01/06  19:00:00,55333475.9462534,,,0.0 
 01/06  20:00:00,55940391.8105509,,,0.0 
 01/06  21:00:00,62265603.3753998,,,0.0 
 01/06  22:00:00,62705656.8133329,,,0.0 
 01/06  23:00:00,63302822.9206173,,,0.0 
 01/06  24:00:00,68814190.4039448,,,0.0 
 01/07  01:00:00,69101852.8840427,,,0.0 
 01/07  02:00:00,68833321.3932178,,,0.0 
 01/07  03:00:00,69064751.6039276,,,0.0 
 01/07  04:00:00,69541151.2460661,,,0.0 
 01/07  05:00:00,69860894.2882744,,,0.0 
 01/07  06:00:00,70184376.3106162,,,0.0 
 01/07  07:00:00,66530020.4205476,,,0.0 
 01/07  08:00:00,59363013.6639447,,,0.0 
 01/07  09:00:00,60275505.6307884,,,0.0 
 01/07  10:00:00,55399272.3202272,,,0.0 
