"CombPer","Cap","IWB","ODB","TotCap","Power"
120.0,58.8,14.0,16.0,39.7,7.2
120.0,58.8,14.0,18.0,39.7,7.34
120.0,58.8,14.0,20.0,39.7,7.49
120.0,58.8,14.0,21.0,39.7,7.56
120.0,58.8,14.0,23.0,39.7,8.08
120.0,58.8,14.0,25.0,39.7,8.63
120.0,58.8,14.0,27.0,39.7,9.21
120.0,58.8,14.0,29.0,39.7,9.83
120.0,58.8,14.0,31.0,39.7,10.47
120.0,58.8,14.0,33.0,39.7,11.2
120.0,58.8,14.0,35.0,39.7,11.9
120.0,58.8,14.0,37.0,39.7,12.6
120.0,58.8,14.0,39.0,39.7,13.4
120.0,58.8,16.0,10.0,47.3,8.33
120.0,58.8,16.0,12.0,47.3,8.48
120.0,58.8,16.0,14.0,47.3,8.64
120.0,58.8,16.0,16.0,47.3,8.81
120.0,58.8,16.0,18.0,47.3,8.99
120.0,58.8,16.0,20.0,47.3,9.34
120.0,58.8,16.0,21.0,47.3,9.67
120.0,58.8,16.0,23.0,47.3,10.37
120.0,58.8,16.0,25.0,47.3,11.1
120.0,58.8,16.0,27.0,47.3,11.9
120.0,58.8,16.0,29.0,47.3,12.7
120.0,58.8,16.0,31.0,47.3,13.5
120.0,58.8,16.0,33.0,47.3,14.4
120.0,58.8,16.0,35.0,47.3,15.4
120.0,58.8,16.0,37.0,47.3,16.4
120.0,58.8,16.0,39.0,47.1,17.3
120.0,58.8,18.0,10.0,55.0,9.9
120.0,58.8,18.0,12.0,55.0,10.09
120.0,58.8,18.0,14.0,55.0,10.28
120.0,58.8,18.0,16.0,55.0,10.48
120.0,58.8,18.0,18.0,55.0,10.8
120.0,58.8,18.0,20.0,55.0,11.7
120.0,58.8,18.0,21.0,55.0,12.1
120.0,58.8,18.0,23.0,54.9,12.9
120.0,58.8,18.0,25.0,54.1,13.5
120.0,58.8,18.0,27.0,53.3,14.0
120.0,58.8,18.0,29.0,52.5,14.6
120.0,58.8,18.0,31.0,51.7,15.2
120.0,58.8,18.0,33.0,50.9,15.8
120.0,58.8,18.0,35.0,50.1,16.3
120.0,58.8,18.0,37.0,49.3,16.9
120.0,58.8,18.0,39.0,48.5,17.5
120.0,58.8,19.0,10.0,58.8,10.7
120.0,58.8,19.0,12.0,58.8,10.9
120.0,58.8,19.0,14.0,58.8,11.1
120.0,58.8,19.0,16.0,58.4,11.2
120.0,58.8,19.0,18.0,57.6,11.6
120.0,58.8,19.0,20.0,56.8,12.1
120.0,58.8,19.0,21.0,56.4,12.4
120.0,58.8,19.0,23.0,55.6,13.0
120.0,58.8,19.0,25.0,54.8,13.5
120.0,58.8,19.0,27.0,54.0,14.1
120.0,58.8,19.0,29.0,53.2,14.7
120.0,58.8,19.0,31.0,52.4,15.3
120.0,58.8,19.0,33.0,51.6,15.8
120.0,58.8,19.0,35.0,50.8,16.4
120.0,58.8,19.0,37.0,50.0,17.0
120.0,58.8,19.0,39.0,49.2,17.6
120.0,58.8,20.0,10.0,61.5,11.1
120.0,58.8,20.0,12.0,60.7,11.1
120.0,58.8,20.0,14.0,59.9,11.0
120.0,58.8,20.0,16.0,59.1,11.1
120.0,58.8,20.0,18.0,58.3,11.6
120.0,58.8,20.0,20.0,57.5,12.2
120.0,58.8,20.0,21.0,57.1,12.5
120.0,58.8,20.0,23.0,56.3,13.0
120.0,58.8,20.0,25.0,55.5,13.6
120.0,58.8,20.0,27.0,54.7,14.2
120.0,58.8,20.0,29.0,53.9,14.8
120.0,58.8,20.0,31.0,53.1,15.3
120.0,58.8,20.0,33.0,52.3,15.9
120.0,58.8,20.0,35.0,51.5,16.5
120.0,58.8,20.0,37.0,50.8,17.1
120.0,58.8,20.0,39.0,50.0,17.7
120.0,58.8,22.0,10.0,62.9,10.7
120.0,58.8,22.0,12.0,62.1,10.7
120.0,58.8,22.0,14.0,61.3,10.6
120.0,58.8,22.0,16.0,60.6,11.2
120.0,58.8,22.0,18.0,59.8,11.7
120.0,58.8,22.0,20.0,59.0,12.3
120.0,58.8,22.0,21.0,58.6,12.6
120.0,58.8,22.0,23.0,57.8,13.2
120.0,58.8,22.0,25.0,57.0,13.7
120.0,58.8,22.0,27.0,56.2,14.3
120.0,58.8,22.0,29.0,55.4,14.9
120.0,58.8,22.0,31.0,54.6,15.5
120.0,58.8,22.0,33.0,53.8,16.1
120.0,58.8,22.0,35.0,53.0,16.7
120.0,58.8,22.0,37.0,52.2,17.3
120.0,58.8,22.0,39.0,51.4,17.9
120.0,58.8,24.0,10.0,64.4,10.31
120.0,58.8,24.0,12.0,63.6,10.23
120.0,58.8,24.0,14.0,62.8,10.7
120.0,58.8,24.0,16.0,62.0,11.3
120.0,58.8,24.0,18.0,61.2,11.8
120.0,58.8,24.0,20.0,60.4,12.4
120.0,58.8,24.0,21.0,60.0,12.7
120.0,58.8,24.0,23.0,59.2,13.3
120.0,58.8,24.0,25.0,58.4,13.9
120.0,58.8,24.0,27.0,57.6,14.5
120.0,58.8,24.0,29.0,56.8,15.1
120.0,58.8,24.0,31.0,56.0,15.6
120.0,58.8,24.0,33.0,55.2,16.2
120.0,58.8,24.0,35.0,54.4,16.8
120.0,58.8,24.0,37.0,53.6,17.5
120.0,58.8,24.0,39.0,52.8,18.1
110.0,53.9,14.0,10.0,36.4,6.19
110.0,53.9,14.0,12.0,36.4,6.3
110.0,53.9,14.0,14.0,36.4,6.42
110.0,53.9,14.0,16.0,36.4,6.53
110.0,53.9,14.0,18.0,36.4,6.66
110.0,53.9,14.0,20.0,36.4,6.79
110.0,53.9,14.0,21.0,36.4,6.85
110.0,53.9,14.0,23.0,36.4,7.18
110.0,53.9,14.0,25.0,36.4,7.66
110.0,53.9,14.0,27.0,36.4,8.17
110.0,53.9,14.0,29.0,36.4,8.71
110.0,53.9,14.0,31.0,36.4,9.28
110.0,53.9,14.0,33.0,36.4,9.88
110.0,53.9,14.0,35.0,36.4,10.5
110.0,53.9,14.0,37.0,36.4,11.2
110.0,53.9,14.0,39.0,36.4,11.9
110.0,53.9,16.0,10.0,43.4,7.54
110.0,53.9,16.0,12.0,43.4,7.68
110.0,53.9,16.0,14.0,43.4,7.82
110.0,53.9,16.0,16.0,43.4,7.97
110.0,53.9,16.0,18.0,43.4,8.13
110.0,53.9,16.0,20.0,43.4,8.29
110.0,53.9,16.0,21.0,43.4,8.54
110.0,53.9,16.0,23.0,43.4,9.15
110.0,53.9,16.0,25.0,43.4,9.78
110.0,53.9,16.0,27.0,43.4,10.45
110.0,53.9,16.0,29.0,43.4,11.2
110.0,53.9,16.0,31.0,43.4,11.9
110.0,53.9,16.0,33.0,43.4,12.7
110.0,53.9,16.0,35.0,43.4,13.5
110.0,53.9,16.0,37.0,43.4,14.4
110.0,53.9,16.0,39.0,43.4,15.3
110.0,53.9,18.0,10.0,50.4,8.95
110.0,53.9,18.0,12.0,50.4,9.12
110.0,53.9,18.0,14.0,50.4,9.29
110.0,53.9,18.0,16.0,50.4,9.47
110.0,53.9,18.0,18.0,50.4,9.66
110.0,53.9,18.0,20.0,50.4,10.24
110.0,53.9,18.0,21.0,50.4,10.6
110.0,53.9,18.0,23.0,50.4,11.4
110.0,53.9,18.0,25.0,50.4,12.2
110.0,53.9,18.0,27.0,50.4,13.0
110.0,53.9,18.0,29.0,50.4,13.9
110.0,53.9,18.0,31.0,50.4,14.9
110.0,53.9,18.0,33.0,50.1,15.7
110.0,53.9,18.0,35.0,49.3,16.2
110.0,53.9,18.0,37.0,48.5,16.8
110.0,53.9,18.0,39.0,47.7,17.4
110.0,53.9,19.0,10.0,53.9,9.67
110.0,53.9,19.0,12.0,53.9,9.86
110.0,53.9,19.0,14.0,53.9,10.05
110.0,53.9,19.0,16.0,53.9,10.24
110.0,53.9,19.0,18.0,53.9,10.52
110.0,53.9,19.0,20.0,53.9,11.3
110.0,53.9,19.0,21.0,53.9,11.7
110.0,53.9,19.0,23.0,53.9,12.6
110.0,53.9,19.0,25.0,53.9,13.5
110.0,53.9,19.0,27.0,53.1,14.0
110.0,53.9,19.0,29.0,52.3,14.6
110.0,53.9,19.0,31.0,51.5,15.2
110.0,53.9,19.0,33.0,50.7,15.7
110.0,53.9,19.0,35.0,49.9,16.3
110.0,53.9,19.0,37.0,49.1,16.9
110.0,53.9,19.0,39.0,48.3,17.5
110.0,53.9,20.0,10.0,57.4,10.41
110.0,53.9,20.0,12.0,57.4,10.6
110.0,53.9,20.0,14.0,57.4,10.8
110.0,53.9,20.0,16.0,57.4,11.0
110.0,53.9,20.0,18.0,57.3,11.5
110.0,53.9,20.0,20.0,56.6,12.1
110.0,53.9,20.0,21.0,56.2,12.4
110.0,53.9,20.0,23.0,55.4,13.0
110.0,53.9,20.0,25.0,54.6,13.5
110.0,53.9,20.0,27.0,53.8,14.1
110.0,53.9,20.0,29.0,53.0,14.7
110.0,53.9,20.0,31.0,52.2,15.2
110.0,53.9,20.0,33.0,51.4,15.8
110.0,53.9,20.0,35.0,50.6,16.4
110.0,53.9,20.0,37.0,49.8,17.0
110.0,53.9,20.0,39.0,49.0,17.6
110.0,53.9,22.0,10.0,61.8,11.0
110.0,53.9,22.0,12.0,61.1,11.0
110.0,53.9,22.0,14.0,60.3,10.9
110.0,53.9,22.0,16.0,59.5,11.1
110.0,53.9,22.0,18.0,58.7,11.6
110.0,53.9,22.0,20.0,57.9,12.2
110.0,53.9,22.0,21.0,57.5,12.5
110.0,53.9,22.0,23.0,56.7,13.1
110.0,53.9,22.0,25.0,55.9,13.6
110.0,53.9,22.0,27.0,55.1,14.2
110.0,53.9,22.0,29.0,54.3,14.8
110.0,53.9,22.0,31.0,53.5,15.4
110.0,53.9,22.0,33.0,52.7,16.0
110.0,53.9,22.0,35.0,51.9,16.5
110.0,53.9,22.0,37.0,51.1,17.1
110.0,53.9,22.0,39.0,50.3,17.7
110.0,53.9,24.0,10.0,63.2,10.7
110.0,53.9,24.0,12.0,62.4,10.6
110.0,53.9,24.0,14.0,61.6,10.6
110.0,53.9,24.0,16.0,60.8,11.2
110.0,53.9,24.0,18.0,60.0,11.7
110.0,53.9,24.0,20.0,59.2,12.3
110.0,53.9,24.0,21.0,58.8,12.6
110.0,53.9,24.0,23.0,58.0,13.2
110.0,53.9,24.0,25.0,57.2,13.8
110.0,53.9,24.0,27.0,56.4,14.3
110.0,53.9,24.0,29.0,55.6,14.9
110.0,53.9,24.0,31.0,54.8,15.5
110.0,53.9,24.0,33.0,54.0,16.1
110.0,53.9,24.0,35.0,53.2,16.7
110.0,53.9,24.0,37.0,52.4,17.3
110.0,53.9,24.0,39.0,51.6,17.9
100.0,49.0,14.0,10.0,33.1,5.58
100.0,49.0,14.0,12.0,33.1,5.68
100.0,49.0,14.0,14.0,33.1,5.78
100.0,49.0,14.0,16.0,33.1,5.89
100.0,49.0,14.0,18.0,33.1,6.0
100.0,49.0,14.0,20.0,33.1,6.11
100.0,49.0,14.0,21.0,33.1,6.17
100.0,49.0,14.0,23.0,33.1,6.33
100.0,49.0,14.0,25.0,33.1,6.76
100.0,49.0,14.0,27.0,33.1,7.2
100.0,49.0,14.0,29.0,33.1,7.67
100.0,49.0,14.0,31.0,33.1,8.16
100.0,49.0,14.0,33.0,33.1,8.68
100.0,49.0,14.0,35.0,33.1,9.22
100.0,49.0,14.0,37.0,33.1,9.8
100.0,49.0,14.0,39.0,33.1,10.4
100.0,49.0,16.0,10.0,39.4,6.77
100.0,49.0,16.0,12.0,39.4,6.89
100.0,49.0,16.0,14.0,39.4,7.02
100.0,49.0,16.0,16.0,39.4,7.15
100.0,49.0,16.0,18.0,39.4,7.29
100.0,49.0,16.0,20.0,39.4,7.44
100.0,49.0,16.0,21.0,39.4,7.51
100.0,49.0,16.0,23.0,39.4,8.01
100.0,49.0,16.0,25.0,39.4,8.56
100.0,49.0,16.0,27.0,39.4,9.13
100.0,49.0,16.0,29.0,39.4,9.74
100.0,49.0,16.0,31.0,39.4,10.38
100.0,49.0,16.0,33.0,39.4,11.1
100.0,49.0,16.0,35.0,39.4,11.8
100.0,49.0,16.0,37.0,39.4,12.5
100.0,49.0,16.0,39.0,39.4,13.3
100.0,49.0,18.0,10.0,45.8,8.02
100.0,49.0,18.0,12.0,45.8,8.17
100.0,49.0,18.0,14.0,45.8,8.33
100.0,49.0,18.0,16.0,45.8,8.49
100.0,49.0,18.0,18.0,45.8,8.65
100.0,49.0,18.0,20.0,45.8,8.92
100.0,49.0,18.0,21.0,45.8,9.23
100.0,49.0,18.0,23.0,45.8,9.89
100.0,49.0,18.0,25.0,45.8,10.58
100.0,49.0,18.0,27.0,45.8,11.3
100.0,49.0,18.0,29.0,45.8,12.1
100.0,49.0,18.0,31.0,45.8,12.9
100.0,49.0,18.0,33.0,45.8,13.7
100.0,49.0,18.0,35.0,45.8,14.6
100.0,49.0,18.0,37.0,45.8,15.6
100.0,49.0,18.0,39.0,45.8,16.6
100.0,49.0,19.0,10.0,49.0,8.66
100.0,49.0,19.0,12.0,49.0,8.83
100.0,49.0,19.0,14.0,49.0,9.0
100.0,49.0,19.0,16.0,49.0,9.17
100.0,49.0,19.0,18.0,49.0,9.35
100.0,49.0,19.0,20.0,49.0,9.82
100.0,49.0,19.0,21.0,49.0,10.18
100.0,49.0,19.0,23.0,49.0,10.9
100.0,49.0,19.0,25.0,49.0,11.7
100.0,49.0,19.0,27.0,49.0,12.5
100.0,49.0,19.0,29.0,49.0,13.3
100.0,49.0,19.0,31.0,49.0,14.2
100.0,49.0,19.0,33.0,49.0,15.2
100.0,49.0,19.0,35.0,49.0,16.2
100.0,49.0,19.0,37.0,48.2,16.8
100.0,49.0,19.0,39.0,47.4,17.3
100.0,49.0,20.0,10.0,52.2,9.32
100.0,49.0,20.0,12.0,52.2,9.5
100.0,49.0,20.0,14.0,52.2,9.68
100.0,49.0,20.0,16.0,52.2,9.87
100.0,49.0,20.0,18.0,52.2,10.06
100.0,49.0,20.0,20.0,52.2,10.8
100.0,49.0,20.0,21.0,52.2,11.2
100.0,49.0,20.0,23.0,52.2,12.0
100.0,49.0,20.0,25.0,52.2,12.8
100.0,49.0,20.0,27.0,52.2,13.7
100.0,49.0,20.0,29.0,52.0,14.6
100.0,49.0,20.0,31.0,51.2,15.1
100.0,49.0,20.0,33.0,50.4,15.7
100.0,49.0,20.0,35.0,49.6,16.3
100.0,49.0,20.0,37.0,48.8,16.8
100.0,49.0,20.0,39.0,48.0,17.4
100.0,49.0,22.0,10.0,58.6,10.7
100.0,49.0,22.0,12.0,58.6,10.9
100.0,49.0,22.0,14.0,58.6,11.1
100.0,49.0,22.0,16.0,58.4,11.2
100.0,49.0,22.0,18.0,57.6,11.6
100.0,49.0,22.0,20.0,56.8,12.1
100.0,49.0,22.0,21.0,56.4,12.4
100.0,49.0,22.0,23.0,55.6,13.0
100.0,49.0,22.0,25.0,54.8,13.5
100.0,49.0,22.0,27.0,54.0,14.1
100.0,49.0,22.0,29.0,53.2,14.7
100.0,49.0,22.0,31.0,52.4,15.3
100.0,49.0,22.0,33.0,51.6,15.8
100.0,49.0,22.0,35.0,50.8,16.4
100.0,49.0,22.0,37.0,50.0,17.0
100.0,49.0,22.0,39.0,49.2,17.6
100.0,49.0,24.0,10.0,61.9,11.0
100.0,49.0,24.0,12.0,61.1,11.0
100.0,49.0,24.0,14.0,60.4,10.9
100.0,49.0,24.0,16.0,59.6,11.1
100.0,49.0,24.0,18.0,58.8,11.7
100.0,49.0,24.0,20.0,58.0,12.2
100.0,49.0,24.0,21.0,57.6,12.5
100.0,49.0,24.0,23.0,56.8,13.1
100.0,49.0,24.0,25.0,56.0,13.7
100.0,49.0,24.0,27.0,55.2,14.2
100.0,49.0,24.0,29.0,54.4,14.8
100.0,49.0,24.0,31.0,53.6,15.4
100.0,49.0,24.0,33.0,52.8,16.0
100.0,49.0,24.0,35.0,52.0,16.6
100.0,49.0,24.0,37.0,51.2,17.1
100.0,49.0,24.0,39.0,50.4,17.7
90.0,44.1,14.0,10.0,29.8,5.0
90.0,44.1,14.0,12.0,29.8,5.08
90.0,44.1,14.0,14.0,29.8,5.17
90.0,44.1,14.0,16.0,29.8,5.26
90.0,44.1,14.0,18.0,29.8,5.35
90.0,44.1,14.0,20.0,29.8,5.45
90.0,44.1,14.0,21.0,29.8,5.5
90.0,44.1,14.0,23.0,29.8,5.61
90.0,44.1,14.0,25.0,29.8,5.91
90.0,44.1,14.0,27.0,29.8,6.29
90.0,44.1,14.0,29.0,29.8,6.69
90.0,44.1,14.0,31.0,29.8,7.11
90.0,44.1,14.0,33.0,29.8,7.56
90.0,44.1,14.0,35.0,29.8,8.02
90.0,44.1,14.0,37.0,29.8,8.52
90.0,44.1,14.0,39.0,29.8,9.03
